model,evaluation,dataset,n_patients,metric_name,metric_value,notes
CellLine-LightGBM,10-fold CV (cell lines),LINCS x GDSC2,719,RMSE,16.6593,std=0.6415
CellLine-LightGBM-on-patients,CTR-DB patient validation (mean),ALL,1912,Mean AUC,0.4674,"10 datasets, std=0.0920"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20194,278,AUC,0.508,drug=TFAC (Cyclophosphamide+Doxorubicin+Fluorouracil+Paclitaxel)
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20194,278,Cohen's d,0.063,"mean_R=103.71, mean_NR=103.21"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20194,278,Wilcoxon p-value,0.853172,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20271,178,AUC,0.4813,drug=FAC (Cyclophosphamide+Doxorubicin+Fluorouracil)
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20271,178,Cohen's d,-0.0399,"mean_R=102.30, mean_NR=102.55"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20271,178,Wilcoxon p-value,0.762102,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE25066,488,AUC,0.577,drug=Anthracycline+Taxane
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE25066,488,Cohen's d,0.2535,"mean_R=105.17, mean_NR=103.09"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE25066,488,Wilcoxon p-value,0.017902,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE32646,115,AUC,0.4604,drug=TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel)
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE32646,115,Cohen's d,-0.09,"mean_R=100.63, mean_NR=101.42"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE32646,115,Wilcoxon p-value,0.537268,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE41998,206,AUC,0.4597,drug=AC (Cyclophosphamide+Doxorubicin)+Ixabepilone
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE41998,206,Cohen's d,-0.1416,"mean_R=101.43, mean_NR=102.71"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE41998,206,Wilcoxon p-value,0.768207,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE4779,102,AUC,0.5425,drug=Cyclophosphamide+Epirubicin+Fluorouracil
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE4779,102,Cohen's d,0.1785,"mean_R=101.21, mean_NR=99.57"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE4779,102,Wilcoxon p-value,0.4739,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE50948,156,AUC,0.3982,drug=AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE50948,156,Cohen's d,-0.3071,"mean_R=99.27, mean_NR=101.92"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE50948,156,Wilcoxon p-value,0.037828,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE66999,76,AUC,0.2452,drug=Docetaxel+Epirubicin+Pegfilgrastim
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE66999,76,Cohen's d,-0.897,"mean_R=99.88, mean_NR=110.71"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE66999,76,Wilcoxon p-value,0.037946,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE6861,161,AUC,0.4931,drug=Cyclophosphamide+Epirubicin+Fluorouracil
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE6861,161,Cohen's d,0.0503,"mean_R=100.82, mean_NR=100.37"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE6861,161,Wilcoxon p-value,0.883859,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE82172,152,AUC,0.5089,drug=Tamoxifen
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE82172,152,Cohen's d,-0.0023,"mean_R=101.73, mean_NR=101.75"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE82172,152,Wilcoxon p-value,0.898032,
LINCS-reversal,Reversal score discrimination,GSE20271,178,AUC,0.6493,"drug=alfacalcidol, p=0.015185"
LINCS-reversal,Reversal score discrimination,GSE20271,178,AUC,0.4112,"drug=cefaclor, p=0.148855"
LINCS-reversal,Reversal score discrimination,GSE20271,178,AUC,0.4613,"drug=guanfacine, p=0.529942"
LINCS-reversal,Reversal score discrimination,GSE20271,178,AUC,0.6207,"drug=sulfacetamide, p=0.0497"
LINCS-reversal,Reversal score discrimination,GSE20271,178,AUC,0.647,"drug=sulfachlorpyridazine, p=0.016808"
LINCS-reversal,Reversal score discrimination,GSE20271,178,AUC,0.3603,"drug=tofacitinib, p=0.02312"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4697,"drug=2-(biphenyl-4-ylsulfonamido)pentanedioic-acid, p=0.825139"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7473,"drug=2-fluoropalmitic-acid, p=0.058052"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.8209,"drug=4-hydroxyretinoic-acid, p=0.011065"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5443,"drug=5-aminolevulinic-acid, p=0.745738"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7313,"drug=ac-55649, p=0.07777"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4189,"drug=bl003-049-hdac3, p=0.549416"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2866,"drug=dac-003, p=0.105596"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4299,"drug=dac-004, p=0.605276"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6119,"drug=dac-009, p=0.406241"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3502,"drug=dac-012, p=0.263401"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4318,"drug=dac-013, p=0.615683"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6627,"drug=fl-hdac-025, p=0.223175"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4488,"drug=hdac1-selective, p=0.706909"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4388,"drug=hdac3-selective, p=0.652672"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3085,"drug=hdaci1,2+3_mix, p=0.148818"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5821,"drug=m2-pk-activator, p=0.544459"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6119,"drug=n-(3-acetamidophenyl)-3-chlorobenzamide, p=0.406241"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6398,"drug=n-arachidonyl-gaba, p=0.297342"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6567,"drug=nfkb-activation-inhibitor-ii, p=0.241197"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2358,"drug=pac-1, p=0.041587"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4537,"drug=acadesine, p=0.734578"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5124,"drug=acamprosate, p=0.929613"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5801,"drug=acarbose, p=0.554394"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3692,"drug=acebutolol, p=0.330128"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2836,"drug=aceclidine, p=0.100512"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5343,"drug=aceclofenac, p=0.802246"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2925,"drug=acefylline, p=0.116331"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.398,"drug=acemetacin, p=0.449958"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3393,"drug=acenocoumarol, p=0.229079"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6149,"drug=acepromazine, p=0.39361"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6975,"drug=acetazolamide, p=0.135959"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7104,"drug=acetohexamide, p=0.110868"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4289,"drug=acetyl-farnesyl-cysteine, p=0.600101"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4856,"drug=acetyl-geranygeranyl-cysteine, p=0.917917"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4716,"drug=acetyl-geranyl-cysteine, p=0.836639"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2438,"drug=acetylcholine, p=0.048803"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2826,"drug=acetylcysteine, p=0.098858"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4358,"drug=acetylsalicylsalicylic-acid, p=0.636715"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4338,"drug=acipimox, p=0.626163"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7731,"drug=acitretin, p=0.034502"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3463,"drug=actarit, p=0.250557"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5005,"drug=acyclovir, p=1.0"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3851,"drug=alendronic-acid, p=0.39361"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2796,"drug=alfacalcidol, p=0.094017"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3502,"drug=alfadolone-acetate, p=0.263401"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6368,"drug=alpha-linolenic-acid, p=0.308035"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6786,"drug=amikacin, p=0.179591"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5861,"drug=aminocaproic-acid, p=0.524844"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4786,"drug=aminohippuric-acid, p=0.877128"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7433,"drug=aminosalicylic-acid, p=0.062573"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2816,"drug=amsacrine, p=0.097224"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2856,"drug=aniracetam, p=0.103881"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6388,"drug=apoptosis-activator-ii, p=0.30088"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5652,"drug=arachidonamide, p=0.63143"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4577,"drug=arachidonyl-trifluoro-methane, p=0.756949"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3413,"drug=aristolochic-acid, p=0.235086"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4209,"drug=ascorbic-acid, p=0.559392"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5483,"drug=asiatic-acid, p=0.72347"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5035,"drug=atractyloside, p=0.982383"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3692,"drug=atracurium, p=0.330128"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5264,"drug=azacitidine, p=0.848171"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5015,"drug=azacyclonol, p=0.994127"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4547,"drug=bacampicilline, p=0.740152"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2766,"drug=baccatin-iii, p=0.089355"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5642,"drug=bacitracin, p=0.636715"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4199,"drug=baclofen, p=0.554394"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2527,"drug=benactyzine, p=0.058052"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5264,"drug=benzohydroxamic-acid, p=0.848171"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4876,"drug=betamethasone-acetate, p=0.929613"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5502,"drug=betulinic-acid, p=0.712415"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2468,"drug=bisacodyl, p=0.051748"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4836,"drug=bongkrek-acid, p=0.906238"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5045,"drug=bromfenac, p=0.976513"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3741,"drug=bufexamac, p=0.349256"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.204,"drug=bulleyaconitine-a, p=0.020663"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3423,"drug=bupivacaine, p=0.238129"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5871,"drug=butacaine, p=0.519994"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5184,"drug=byssochlamic-acid, p=0.894578"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.202,"drug=caffeic-acid, p=0.019711"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3851,"drug=canrenoic-acid, p=0.39361"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.8498,"drug=carbachol, p=0.004786"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5622,"drug=carbacyclin, p=0.647336"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7891,"drug=cefaclor, p=0.024291"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4249,"drug=cephalosporanic-acid, p=0.579589"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6438,"drug=chenodeoxycholic-acid, p=0.283451"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3085,"drug=chlormadinone-acetate, p=0.148818"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4935,"drug=chlortetracycline, p=0.964775"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6149,"drug=cholic-acid, p=0.39361"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6428,"drug=ciclacillin, p=0.286884"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4806,"drug=cinacalcet, p=0.888756"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4378,"drug=ciprofloxacin, p=0.647336"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5413,"drug=clavulanic-acid, p=0.762572"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6816,"drug=clinafloxacin, p=0.172129"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6169,"drug=clodronic-acid, p=0.385316"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4259,"drug=clofibric-acid, p=0.584688"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5692,"drug=cloxacillin, p=0.610471"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5542,"drug=cortisone-acetate, p=0.690477"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.1602,"drug=coumaric-acid, p=0.006493"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6756,"drug=cromoglicic-acid, p=0.187275"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3393,"drug=cucurbitacin-i, p=0.229079"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3443,"drug=cyclopiazonic-acid, p=0.244291"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6995,"drug=dacarbazine, p=0.131855"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3532,"drug=dacinostat, p=0.273308"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4577,"drug=dactinomycin, p=0.756949"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3731,"drug=darifenacin, p=0.345379"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6159,"drug=deflazacort, p=0.38945"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5652,"drug=dehydrocholic-acid, p=0.63143"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3184,"drug=deoxycholic-acid, p=0.172129"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.594,"drug=deoxycorticosterone-acetate, p=0.486666"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7303,"drug=deracoxib, p=0.079152"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5413,"drug=dexamethasone-acetate, p=0.762572"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2577,"drug=diacerein, p=0.063744"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6826,"drug=dichloroacetic-acid, p=0.16969"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.8687,"drug=diclofenac, p=0.002531"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4975,"drug=dicloxacillin, p=0.988255"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.595,"drug=dihomo-gamma-linolenic-acid, p=0.481996"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4925,"drug=dihydro-7-desacetyldeoxygedunin, p=0.958908"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3512,"drug=dihydrorobustic-acid, p=0.266677"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4587,"drug=dimercaptosuccinic-acid, p=0.762572"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5214,"drug=docosatrienoic-acid, p=0.877128"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6806,"drug=ebelactone-b, p=0.174592"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4806,"drug=eicosadienoic-acid, p=0.888756"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.591,"drug=eicosatetraynoic-acid, p=0.500814"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6687,"drug=eicosatrienoic-acid, p=0.206076"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2706,"drug=emodic-acid, p=0.080553"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.406,"drug=enoxacin, p=0.486666"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6438,"drug=enrofloxacin, p=0.283451"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4517,"drug=entacapone, p=0.72347"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4517,"drug=ephedrine-(racemic), p=0.72347"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4557,"drug=epinephrine-(racemic), p=0.745738"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3652,"drug=eriochrome-black-t, p=0.315295"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3204,"drug=etacrynic-acid, p=0.177079"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6925,"drug=etidronic-acid, p=0.146617"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.403,"drug=etodolac, p=0.472724"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3632,"drug=farnesylthioacetic-acid, p=0.308035"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7473,"drug=felbinac, p=0.058052"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6677,"drug=fentiazac, p=0.208862"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6498,"drug=flucloxacillin, p=0.263401"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7453,"drug=fludrocortisone-acetate, p=0.060279"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4169,"drug=flufenamic-acid, p=0.539523"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6259,"drug=fluocinolone-acetonide, p=0.349256"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3771,"drug=fluorouracil, p=0.361045"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.398,"drug=folic-acid, p=0.449958"
